path,name,description,item
"sg,seletar,rwy21","Singapore Central Seletar sg,seletar,rwy21",,COBBLESTONE
"sg,seletar_airport","Singapore Central Seletar sg,seletar_airport",,COBBLESTONE
"sg,bukit_merah,interlace","Singapore Central Telok_Blangah sg,bukit_merah,interlace",,COBBLESTONE
"sg,hougang,plots","Singapore Northeast Hougang sg,hougang,plots",,COBBLESTONE
"sg,pasir_ris","Singapore Northeast Pasir_Ris sg,pasir_ris",,COBBLESTONE
codestianhouse,Singapore Northeast Punggol codestianhouse,,COBBLESTONE
"sg,punggol","Singapore Northeast Punggol sg,punggol",,COBBLESTONE
"sg,punggol,cove","Singapore Northeast Punggol sg,punggol,cove",,COBBLESTONE
"sg,punggol_damai","Singapore Northeast Punggol sg,punggol_damai",,COBBLESTONE
"sg,punggol_interchange","Singapore Northeast Punggol sg,punggol_interchange",,COBBLESTONE
"sg,punggol_matilda","Singapore Northeast Punggol sg,punggol_matilda",,COBBLESTONE
"sg,punggol_northshore","Singapore Northeast Punggol sg,punggol_northshore",,COBBLESTONE
"sg,punggol_oasis","Singapore Northeast Punggol sg,punggol_oasis",,COBBLESTONE
"sg,punggol_sit","Singapore Northeast Punggol sg,punggol_sit",,COBBLESTONE
"sg,punggol_station","Singapore Northeast Punggol sg,punggol_station",,COBBLESTONE
"sg,sengkang","Singapore Northeast Seng_Kang sg,sengkang",,COBBLESTONE
"sg,tampines","Singapore Northeast Tampines sg,tampines",,COBBLESTONE
"sg,tampines_east","Singapore Northeast Tampines sg,tampines_east",,COBBLESTONE
"sg,tampines_mart","Singapore Northeast Tampines sg,tampines_mart",,COBBLESTONE
"sg,tampines_north","Singapore Northeast Tampines sg,tampines_north",,COBBLESTONE
"sg,tampines_west","Singapore Northeast Tampines sg,tampines_west",,COBBLESTONE
"sg,woodlands","Singapore Northwest Woodlands sg,woodlands",,COBBLESTONE
"sg,yishun","Singapore Northwest Yishun sg,yishun",,COBBLESTONE
"sg,yishun_east","Singapore Northwest Yishun sg,yishun_east",,COBBLESTONE
"sg,yishun_east_1","Singapore Northwest Yishun sg,yishun_east_1",,COBBLESTONE
"sg,yishun_khatib","Singapore Northwest Yishun sg,yishun_khatib",,COBBLESTONE
"sg,changi_airport","Singapore Southeast Changi sg,changi_airport",,COBBLESTONE
"sg,geylang_plots","Singapore Southeast Geylang sg,geylang_plots",,COBBLESTONE
"sg,bukit_batok,east","Singapore Southwest Bukit_Batok sg,bukit_batok,east",,COBBLESTONE
"sg,cck,keat_hong","Singapore Southwest Choa_Chu_Kang sg,cck,keat_hong",,COBBLESTONE
"sg,cck,south_view","Singapore Southwest Choa_Chu_Kang sg,cck,south_view",,COBBLESTONE
"sg,clementi","Singapore Southwest Clementi sg,clementi",,COBBLESTONE
"sg,jurongeast,imm","Singapore Southwest Jurong_East sg,jurongeast,imm",,COBBLESTONE
"sg,jurong_point","Singapore Southwest Jurong_West sg,jurong_point",,COBBLESTONE
"sg,dover_road","Singapore Southwest Queenstown sg,dover_road",,COBBLESTONE
spawn,spawn MANUAL CHECK THIS (),,COBBLESTONE
"th,rajamangala","Thailand Bangkok Bang_Kapi_District th,rajamangala",,COBBLESTONE
"th,ramkhamhaeng,langram","Thailand Bangkok Bang_Kapi_District th,ramkhamhaeng,langram",,COBBLESTONE
"th,ramkhamhaeng,university","Thailand Bangkok Bang_Kapi_District th,ramkhamhaeng,university",,COBBLESTONE
"th,CharoenKrung","Thailand Bangkok Bang_Rak_District th,CharoenKrung",,COBBLESTONE
"th,sirat","Thailand Bangkok Bang_Rak_District th,sirat",,COBBLESTONE
"th,khlongsan,iconsiam","Thailand Bangkok Khlong_San_District th,khlongsan,iconsiam",,COBBLESTONE
"th,plearnchit","Thailand Bangkok Khlong_Toei_District th,plearnchit",,COBBLESTONE
"th,bangkok,nongchok","Thailand Bangkok Nong_Chok_District th,bangkok,nongchok",,COBBLESTONE
phats,Thailand Bangkok Phra_Nakhon_District phats,,COBBLESTONE
"th,GiantSwing","Thailand Bangkok Phra_Nakhon_District th,GiantSwing",,COBBLESTONE
"th,KhaosanRoad","Thailand Bangkok Phra_Nakhon_District th,KhaosanRoad",,COBBLESTONE
"th,phranakhon,democracymonument","Thailand Bangkok Phra_Nakhon_District th,phranakhon,democracymonument",,COBBLESTONE
"th,worawihan","Thailand Bangkok Phra_Nakhon_District th,worawihan",,COBBLESTONE
"th,yotse","Thailand Bangkok Pom_Prap_Sattru_Phai_District th,yotse",,COBBLESTONE
"th,SiPhraya_Pier","Thailand Bangkok Samphanthawong_District th,SiPhraya_Pier",,COBBLESTONE
"th,satorn","Thailand Bangkok Sathon_District th,satorn",,COBBLESTONE
"th,huamak,srinakarin","Thailand Bangkok Suan_Luang_District th,huamak,srinakarin",,COBBLESTONE
"th,Bangkok,TalingChan,PotisarnpittayakornSchool","Thailand Bangkok Taling_Chan_District th,Bangkok,TalingChan,PotisarnpittayakornSchool",,COBBLESTONE
"th,talingchan,watkaitai","Thailand Bangkok Taling_Chan_District th,talingchan,watkaitai",,COBBLESTONE
"th,chiangmai,thaphae","Thailand Chiang_Mai_City_Municipality th,chiangmai,thaphae",,COBBLESTONE
